"Assay","R.squared","Slope","Intercept","Low.95","LOD","LOQ","rep2.LOD","rep3.LOD","rep4.LOD","rep5.LOD","rep8.LOD"
"SVC",0.994025103216398,-3.39214854869315,39.9041649178307,10,8.57812612435269,10,6.2446604162243,5.08619397926078,4.33499385367968,3.77988127033568,2.62639666502029
"BHC",0.987936427547529,-3.55576423270666,40.627311742591,10,8.57812612435269,9,6.2446604162243,5.08619397926078,4.33499385367968,3.77988127033568,2.62639666502029
